solidity,perimeter,equivalent_diameter,eccentricity,bbox_area,area,extent,major_axis_length,min_axis_length,min_major_axis_ratio,convex_area,type,chromosome_num
0.833879781,159.7523087,31.16860235,0.976731521,2262,763,0.337312113,70.21691304,15.05911924,0.214465698,636,0,1
0.870601589,130.1248917,31.25019569,0.929388556,1472,767,0.521059783,53.01194014,19.56685806,0.369102848,668,0,1
0.859060403,146.4030663,31.27056076,0.899360003,1530,768,0.501960784,49.83071691,21.78643081,0.437208857,660,0,1
0.842278204,162.1665222,31.29091258,0.975007651,2255,769,0.341019956,69.03439981,15.33746135,0.222171286,648,0,1
0.905152225,145.9238816,31.37218781,0.973469519,2173,773,0.355729406,66.77927309,15.28021481,0.228816729,700,0,1
0.836206897,149.6812409,31.43300633,0.97213907,2200,776,0.352727273,67.8432098,15.90277681,0.234404841,649,0,1
0.860592755,124.7106781,31.59461668,0.851187488,1419,784,0.552501762,45.36825966,23.81206435,0.524861754,675,0,1
0.821129707,146.4680374,31.61475989,0.929555705,1584,785,0.495580808,54.88314145,20.23440948,0.368681693,645,0,1
0.916473318,118.7106781,31.71528402,0.853811453,1320,790,0.598484848,44.57361801,23.20423963,0.520582368,724,0,1
0.856988082,159.3969696,31.73535063,0.977065664,1152,791,0.686631944,71.35176308,15.19351785,0.212938226,678,0,1
0.9342723,121.6396103,31.83549399,0.89078739,1350,796,0.58962963,47.81748585,21.72923716,0.454420319,744,0,1
0.862068966,159.2375901,31.91538243,0.979908159,2592,800,0.308641975,73.73729521,14.70684775,0.199449243,690,0,1
0.809045226,152.0243866,32.01496265,0.929961135,1833,805,0.439170758,56.68422155,20.84039852,0.367657841,651,0,1
0.913929785,126.9116882,32.05470812,0.920581155,1225,807,0.65877551,52.07012151,20.33605487,0.390551324,738,0,1
0.900332226,121.254834,32.17364993,0.868141138,1204,813,0.675249169,46.41210866,23.03513721,0.496317402,732,0,1
0.804154303,137.6396103,32.17364993,0.703294289,1520,813,0.534868421,42.97562836,30.55132381,0.710898828,654,0,1
0.902305159,133.1959595,32.35124272,0.924921425,1672,822,0.491626794,53.39279853,20.29771729,0.380158333,742,0,1
0.9375,121.7401154,32.41022407,0.89754833,1288,825,0.64052795,49.23908838,21.71030619,0.440916087,773,0,1
0.774133083,163.882251,32.42986068,0.972979643,1280,826,0.6453125,71.94716745,16.61194718,0.230890913,639,0,1
0.83201581,132.4680374,32.74244488,0.827354377,1600,842,0.52625,47.58692952,26.72863981,0.561680278,701,0,1
0.80513308,144.8111832,32.83951727,0.918560389,1560,847,0.542948718,57.04190852,22.54756404,0.395280674,682,0,1
0.87966805,138.3259018,32.85889733,0.945165537,1188,848,0.713804714,59.06610478,19.29049676,0.326591652,746,0,1
0.922580645,127.2964646,33.052073,0.879493918,1560,858,0.55,48.78193544,23.21581706,0.475910126,792,0,1
0.895768834,139.0954544,33.24412617,0.946225072,2021,868,0.429490351,60.20048319,19.47540186,0.323509062,778,0,1
0.912906611,146.0243866,33.28240382,0.935911186,1716,870,0.506993007,56.98817915,20.07329255,0.352236075,794,0,1
0.84922179,141.2964646,33.33973789,0.941734534,1620,873,0.538888889,60.23994811,20.26213142,0.336357053,741,0,1
0.899487179,138.3675324,33.4160303,0.909886599,1600,877,0.548125,53.43439133,22.16763422,0.414857055,789,0,1
0.896656535,137.5807358,33.56809493,0.936008883,1974,885,0.448328267,58.59696564,20.6247478,0.351976379,794,0,1
